Parameteromschrijving	Parametercode	N	match_method	match_score	match_margin	ref_scope	Lookup_Parameteromschrijving	RawParametercode
zuurstof	O2	401365	exact_name_key	1		existing	zuurstof	O2
chloride	Cl	218370	exact_name_key	1		existing	chloride	Cl
fosfor totaal	Ptot	160171	exact_name_key	1		existing	fosfor totaal	Ptot
stikstof totaal	Ntot	148220	exact_name_key	1		existing	stikstof totaal	Ntot
ammonium	NH4	147479	exact_name_key	1		existing	ammonium	NH4
som nitraat en nitriet	sNO3NO2	141159	exact_name_key	1		existing	som nitraat en nitriet	sNO3NO2
fosfaat	PO4	131481	exact_name_key	1		existing	fosfaat	PO4
stikstof Kjeldahl	NKj	93092	exact_name_key	1		existing	stikstof Kjeldahl	NKj
Biochemisch zuurstofverbruik over 5 dagen	BZV5	66678	exact_name_key	1		existing	Biochemisch zuurstofverbruik over 5 dagen	BZV5
ammoniak	NH3	63720	exact_name_key	1		existing	ammoniak	NH3
sulfaat	SO4	60716	exact_name_key	1		existing	sulfaat	SO4
chlorofyl-a	CHLFa	48455	exact_name_key	1		existing	chlorofyl-a	CHLFa
waterstofcarbonaat	HCO3	40448	exact_name_key	1		existing	waterstofcarbonaat	HCO3
Chemisch zuurstofverbruik	CZV	39646	exact_name_key	1		existing	Chemisch zuurstofverbruik	CZV
nitriet	NO2	32798	exact_name_key	1		existing	nitriet	NO2
Feofytine a	FEOa	26908	exact_name_key	1		existing	Feofytine a	FEOa
ijzer	Fe	25366	exact_name_key	1		existing	ijzer	Fe
koper	Cu	24666	exact_name_key	1		existing	koper	Cu
zink	Zn	21599	exact_name_key	1		existing	zink	Zn
calcium	Ca	21367	exact_name_key	1		existing	calcium	Ca
nikkel	Ni	19079	exact_name_key	1		existing	nikkel	Ni
nitraat	NO3	16897	exact_name_key	1		existing	nitraat	NO3
natrium	Na	12381	exact_name_key	1		existing	natrium	Na
kalium	K	12323	exact_name_key	1		existing	kalium	K
cadmium	Cd	10749	exact_name_key	1		existing	cadmium	Cd
lood	Pb	10662	exact_name_key	1		existing	lood	Pb
chroom	Cr	10490	exact_name_key	1		existing	chroom	Cr
silicium	Si	9922	exact_name_key	1		existing	silicium	Si
carbendazim	carbdzm	8800	exact_name_key	1		existing	carbendazim	carbdzm
kwik	Hg	8737	exact_name_key	1		existing	kwik	Hg
magnesium	Mg	8678	exact_name_key	1		existing	magnesium	Mg
diuron	Durn	7681	exact_name_key	1		existing	diuron	Durn
benzo(ghi)peryleen	BghiPe	7388	exact_name_key	1		existing	benzo(ghi)peryleen	BghiPe
indeno(1,2,3-cd)pyreen	InP	7388	exact_name_key	1		existing	indeno(1,2,3-cd)pyreen	InP
fluorantheen	Flu	7367	exact_name_key	1		existing	fluorantheen	Flu
benzo(k)fluorantheen	BkF	7365	exact_name_key	1		existing	benzo(k)fluorantheen	BkF
benzo(a)pyreen	BaP	7360	exact_name_key	1		existing	benzo(a)pyreen	BaP
dichlobenil	Dcbnl	7275	exact_name_key	1		existing	dichlobenil	Dcbnl
chloridazon	Clidzn	7257	exact_name_key	1		existing	chloridazon	Clidzn
flutolanil	flutlnl	7203	exact_name_key	1		existing	flutolanil	flutlnl
