board_id,active,from_parametercode,from_hoedanigheid,from_limietsymbool,from_eenheid,to_parametercode,to_hoedanigheid,to_limietsymbool,to_eenheid,support_rows,method
hollands_noorderkwartier,true,C2YPTON,NVT,<,ug/l,C2yprton,NVT,<,ug/l,4269,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,TERBTNE,NVT,<,ug/l,terbtn,NVT,<,ug/l,4177,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,PTONC1Y,NVT,<,ug/l,C1yprton,NVT,<,ug/l,3963,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,COUMFS,NVT,<,ug/l,cumfs,NVT,<,ug/l,3854,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,METZCL,NVT,<,ug/l,mzCl,NVT,<,ug/l,3719,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,MTMTN,NVT,<,ug/l,mmtn,NVT,<,ug/l,3706,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,ALDCBSFN,NVT,<,ug/l,alDcsfn,NVT,<,ug/l,3678,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,PIRMFC1Y,NVT,<,ug/l,C1yprmfs,NVT,<,ug/l,3674,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,ALDCBSO,NVT,<,ug/l,alDcSO,NVT,<,ug/l,3603,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,CBFRN,NVT,<,ug/l,carbfrn,NVT,<,ug/l,3516,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,CLPRFS,NVT,<,ug/l,C2yClprfs,NVT,<,ug/l,3110,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,CBRL,NVT,<,ug/l,carbrl,NVT,<,ug/l,1552,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,CBEDZM,NVT,<,ug/l,carbdzm,NVT,<,ug/l,1407,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,14CYMN,NVT,<,ug/l,1iC3y4C1yBen,NVT,<,ug/l,885,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,NC4YBEN,NVT,<,ug/l,C4yBen,NVT,<,ug/l,867,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,S1314XYL,NVT,<,ug/l,s1314xyln,NVT,<,ug/l,867,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,CBMZPNE,NVT,<,ug/l,carbmzpne,NVT,<,ug/l,321,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,DIMTDZL,NVT,<,ug/l,DmTdzl,NVT,<,ug/l,187,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,CBFNTON,NVT,<,ug/l,carbfnton,NVT,<,ug/l,98,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,NIC3YATNAD,NVT,<,ug/l,iC3yantnlAd,NVT,<,ug/l,96,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,CBEAD,NVT,<,ug/l,carbtAd,NVT,<,ug/l,95,summary_equal_count_minmax_unique
hollands_noorderkwartier,true,CHLFa,Totaalalgen,,ug/l,CHLFa,NVT,-,ug/l,2772,summary_hoedanigheid_collapse
hollands_noorderkwartier,true,CHLFa,Cryptofy,,ug/l,CHLFa,NVT,-,ug/l,2510,summary_hoedanigheid_collapse
hollands_noorderkwartier,true,CHLFa,Groenalg,,ug/l,CHLFa,NVT,-,ug/l,2469,summary_hoedanigheid_collapse
hollands_noorderkwartier,true,CHLFa,Blauwalg,,ug/l,CHLFa,NVT,-,ug/l,2424,summary_hoedanigheid_collapse
hollands_noorderkwartier,true,CHLFa,Diatomee,,ug/l,CHLFa,NVT,-,ug/l,2157,summary_hoedanigheid_collapse
hollands_noorderkwartier,true,CHLFa,NVT,,ug/l,CHLFa,NVT,-,ug/l,151,summary_limiet_blank_to_dash
hollands_noorderkwartier,true,CHLFa,Totaalalgen,<,ug/l,CHLFa,NVT,<,ug/l,18,summary_hoedanigheid_collapse
hollands_noorderkwartier,true,CHLFa,Cryptofy,<,ug/l,CHLFa,NVT,<,ug/l,280,summary_hoedanigheid_collapse
hollands_noorderkwartier,true,CHLFa,Groenalg,<,ug/l,CHLFa,NVT,<,ug/l,316,summary_hoedanigheid_collapse
hollands_noorderkwartier,true,CHLFa,Blauwalg,<,ug/l,CHLFa,NVT,<,ug/l,366,summary_hoedanigheid_collapse
hollands_noorderkwartier,true,CHLFa,Diatomee,<,ug/l,CHLFa,NVT,<,ug/l,616,summary_hoedanigheid_collapse
