Par.Naam,Aquo.Parnaam,Parametercode,Parameteromschrijving
Temperatuur water,Temperatuur,T,Temperatuur
Zuurstof percentage,zuurstof,O2,zuurstof
Zuurstof,zuurstof,O2,zuurstof
Chloride,chloride,Cl,chloride
Chlorofyl-A,chlorofyl-a,CHLFa,chlorofyl-a
Feofytine A,Feofytine a,FEOa,Feofytine a
Zwevende Stof,Onopgeloste stoffen,OS,Onopgeloste stoffen
Bicarbonaat,waterstofcarbonaat,HCO3,waterstofcarbonaat
Biochemisch zuurstofverbruik met allylthioureum,Biochemisch zuurstofverbruik over 5 dagen,BZV5,Biochemisch zuurstofverbruik over 5 dagen
Nitraat,nitraat,NO3,nitraat
Nitriet,nitriet,NO2,nitriet
Stikstof Kjeldahl,stikstof Kjeldahl,NKj,stikstof Kjeldahl
stikstof totaal (N),stikstof totaal,Ntot,stikstof totaal
Orthofosfaat (P),fosfaat,PO4,fosfaat
fosfor totaal (P),fosfor totaal,Ptot,fosfor totaal
Bromide,bromide,Br,bromide
Calcium,calcium,Ca,calcium
Kalium,kalium,K,kalium
Magnesium,magnesium,Mg,magnesium
Natrium,natrium,Na,natrium
Sulfide (nf),sulfide,S,sulfide
Som nitraat en nitriet,som nitraat en nitriet,sNO3NO2,som nitraat en nitriet
Cadmium,cadmium,Cd,cadmium
Chroom,chroom,Cr,chroom
Ijzer,ijzer,Fe,ijzer
Koper,koper,Cu,koper
Lood,lood,Pb,lood
Nikkel,nikkel,Ni,nikkel
Zink,zink,Zn,zink
indoxacarb,indoxacarb (S-isomeer),indxcb,indoxacarb (S-isomeer)
2-methyl-4-chloorfenoxypropionzuur (mecoprop),mecoprop,MCPP,mecoprop
Temperatuur lucht,Temperatuur,T,Temperatuur
Microcystines,som microcystines,sMICCTNS,som microcystines
Arseen,arseen,As,arseen
Arseen (nf),arseen,As,arseen
Cadmium (nf),cadmium,Cd,cadmium
Chroom (nf),chroom,Cr,chroom
Koper (nf),koper,Cu,koper
Lood (nf),lood,Pb,lood
Nikkel (nf),nikkel,Ni,nikkel
Zink (nf),zink,Zn,zink
Minerale Olie,minerale olie,minrlole,minerale olie
"2,4-dichloordifenyldichloorethaan","2,4'-dichloordifenyldichloorethaan",24DDD,"2,4'-dichloordifenyldichloorethaan"
"2,4-dichloordifenyldichlooretheen","2,4'-dichloordifenyldichlooretheen",24DDE,"2,4'-dichloordifenyldichlooretheen"
"2,4-dichloordifenyltrichloorethaan","2,4'-dichloordifenyltrichloorethaan",24DDT,"2,4'-dichloordifenyltrichloorethaan"
"4,4-dichloordifenyldichlooretheen","4,4'-dichloordifenyldichlooretheen",44DDE,"4,4'-dichloordifenyldichlooretheen"
"4,4-dichloordifenyltrichloorethaan","4,4'-dichloordifenyltrichloorethaan",44DDT,"4,4'-dichloordifenyltrichloorethaan"
"4,4-dichloordifenyldichloorethaan","4,4'-dichloordifenyldichloorethaan",44DDD,"4,4'-dichloordifenyldichloorethaan"
