"board_id","active","from_parametercode","from_hoedanigheid","from_limietsymbool","from_eenheid","to_parametercode","to_hoedanigheid","to_limietsymbool","to_eenheid","support_rows","method"
"hh_van_rijnland","true","AcNe","NVT","<","ug/l","AcNe","NVT","","ug/l",138,"manual_hh_lt_to_blank_20260320"
"hh_van_rijnland","true","AcNy","NVT","<","ug/l","AcNy","NVT","","ug/l",142,"manual_hh_lt_to_blank_20260320"
"hh_van_rijnland","true","C2yBen","NVT","<","ug/l","C2yBen","NVT","","ug/l",111,"manual_hh_lt_to_blank_20260320"
"hh_van_rijnland","true","DBahAnt","NVT","<","ug/l","DBahAnt","NVT","","ug/l",122,"manual_hh_lt_to_blank_20260320"
"hh_van_rijnland","true","Dcbnl","NVT","<","ug/l","Dcbnl","NVT","","ug/l",582,"manual_hh_lt_to_blank_20260320"
"hh_van_rijnland","true","Dcfl","NVT","<","ug/l","Dcfl","NVT","","ug/l",1038,"manual_hh_lt_to_blank_20260320"
"hh_van_rijnland","true","Fle","NVT","<","ug/l","Fle","NVT","","ug/l",101,"manual_hh_lt_to_blank_20260320"
"hh_van_rijnland","true","HCB","NVT","<","ug/l","HCB","NVT","","ug/l",1618,"manual_hh_lt_to_blank_20260320"
"hh_van_rijnland","true","Hg","NVT","<","ug/l","Hg","NVT","","ug/l",439,"manual_hh_lt_to_blank_20260320"
"hh_van_rijnland","true","HpCl","NVT","<","ug/l","HpCl","NVT","","ug/l",1334,"manual_hh_lt_to_blank_20260320"
"hh_van_rijnland","true","NH3","N","<","mg/l","NH3","N","","mg/l",490,"manual_hh_lt_to_blank_20260320"
"hh_van_rijnland","true","PCB101","NVT","<","ug/l","PCB101","NVT","","ug/l",200,"manual_hh_lt_to_blank_20260320"
"hh_van_rijnland","true","PCB118","NVT","<","ug/l","PCB118","NVT","","ug/l",149,"manual_hh_lt_to_blank_20260320"
"hh_van_rijnland","true","PCB138","NVT","<","ug/l","PCB138","NVT","","ug/l",199,"manual_hh_lt_to_blank_20260320"
"hh_van_rijnland","true","PCB153","NVT","<","ug/l","PCB153","NVT","","ug/l",195,"manual_hh_lt_to_blank_20260320"
"hh_van_rijnland","true","PCB180","NVT","<","ug/l","PCB180","NVT","","ug/l",203,"manual_hh_lt_to_blank_20260320"
