board_id,active,from_parametercode,from_hoedanigheid,from_limietsymbool,from_eenheid,to_parametercode,to_hoedanigheid,to_limietsymbool,to_eenheid,support_rows,method
rivierenland,true,1031,nvt,"",mmol/l,hco3,nvt,"",mmol/l,46318,summary_equal_count_minmax_unique
rivierenland,true,1030,nvt,<,mmol/l,co3,nvt,<,mmol/l,44153,summary_equal_count_minmax_unique
rivierenland,true,2520,nvt,"",ug/l,fe,nvt,"",ug/l,38117,summary_equal_count_minmax_unique
rivierenland,true,1011,nvt,"",ug/l,feoa,nvt,"",ug/l,30033,summary_equal_count_minmax_unique
rivierenland,true,1026,c,"",mg/l,corg,c,"",mg/l,21738,summary_equal_count_minmax_unique
rivierenland,true,no3,n,"",mg/l,sno3no2,n,"",mg/l,21414,summary_equal_count_minmax_unique
rivierenland,true,1025,cnf,"",mg/l,corg,cnf,"",mg/l,16106,summary_equal_count_minmax_unique
rivierenland,true,1106,nvt,<,mg/l,br,nvt,<,mg/l,8759,summary_equal_count_minmax_unique
rivierenland,true,no3,n,<,mg/l,sno3no2,n,<,mg/l,5388,summary_equal_count_minmax_unique
rivierenland,true,1050,n,"",mg/l,nh3,n,"",mg/l,2880,summary_equal_count_minmax_unique
rivierenland,true,4395,nvt,<,ug/l,dmtat,nvt,<,ug/l,1964,summary_equal_count_minmax_unique
rivierenland,true,4532,nvt,<,ug/l,malton,nvt,<,ug/l,1957,summary_equal_count_minmax_unique
rivierenland,true,4279,nvt,<,ug/l,atzne,nvt,<,ug/l,1920,summary_equal_count_minmax_unique
rivierenland,true,4626,nvt,<,ug/l,simzne,nvt,<,ug/l,1854,summary_equal_count_minmax_unique
rivierenland,true,4549,nvt,<,ug/l,c1yazfs,nvt,<,ug/l,1851,summary_equal_count_minmax_unique
rivierenland,true,4377,nvt,<,ug/l,dclvs,nvt,<,ug/l,1848,summary_equal_count_minmax_unique
rivierenland,true,4555,nvt,<,ug/l,c1yprton,nvt,<,ug/l,1800,summary_equal_count_minmax_unique
rivierenland,true,4308,nvt,<,ug/l,carbrl,nvt,<,ug/l,1779,summary_equal_count_minmax_unique
rivierenland,true,4425,nvt,<,ug/l,c2yclprfs,nvt,<,ug/l,1753,summary_equal_count_minmax_unique
rivierenland,true,4702,nvt,<,ug/l,tazfs,nvt,<,ug/l,1749,summary_equal_count_minmax_unique
rivierenland,true,4367,nvt,<,ug/l,daznn,nvt,<,ug/l,1737,summary_equal_count_minmax_unique
rivierenland,true,4595,nvt,<,ug/l,pirmcb,nvt,<,ug/l,1729,summary_equal_count_minmax_unique
rivierenland,true,4423,nvt,<,ug/l,c2yazfs,nvt,<,ug/l,1722,summary_equal_count_minmax_unique
rivierenland,true,4428,nvt,<,ug/l,c2yprton,nvt,<,ug/l,1718,summary_equal_count_minmax_unique
rivierenland,true,4268,nvt,<,ug/l,aldcb,nvt,<,ug/l,1717,summary_equal_count_minmax_unique
rivierenland,true,4546,nvt,<,ug/l,metml,nvt,<,ug/l,1713,summary_equal_count_minmax_unique
rivierenland,true,4608,nvt,<,ug/l,propxr,nvt,<,ug/l,1711,summary_equal_count_minmax_unique
rivierenland,true,4453,nvt,<,ug/l,fenton,nvt,<,ug/l,1702,summary_equal_count_minmax_unique
rivierenland,true,4496,nvt,<,ug/l,heptnfs,nvt,<,ug/l,1698,summary_equal_count_minmax_unique
rivierenland,true,4327,nvt,<,ug/l,clidzn,nvt,<,ug/l,1687,summary_equal_count_minmax_unique
rivierenland,true,4556,nvt,<,ug/l,c1yprmfs,nvt,<,ug/l,1673,summary_equal_count_minmax_unique
rivierenland,true,4615,nvt,<,ug/l,pyrazfs,nvt,<,ug/l,1670,summary_equal_count_minmax_unique
rivierenland,true,4267,nvt,<,ug/l,alcl,nvt,<,ug/l,1666,summary_equal_count_minmax_unique
rivierenland,true,4269,nvt,<,ug/l,aldcsfn,nvt,<,ug/l,1659,summary_equal_count_minmax_unique
rivierenland,true,4525,nvt,<,ug/l,kresoxmc1y,nvt,<,ug/l,1655,summary_equal_count_minmax_unique
rivierenland,true,4326,nvt,<,ug/l,cltlrn,nvt,<,ug/l,1654,summary_equal_count_minmax_unique
rivierenland,true,4446,nvt,<,ug/l,fenoxcb,nvt,<,ug/l,1648,summary_equal_count_minmax_unique
rivierenland,true,4310,nvt,<,ug/l,carbfrn,nvt,<,ug/l,1637,summary_equal_count_minmax_unique
rivierenland,true,4561,nvt,<,ug/l,metxrn,nvt,<,ug/l,1637,summary_equal_count_minmax_unique
rivierenland,true,4689,nvt,<,ug/l,tolcfsc1y,nvt,<,ug/l,1634,summary_equal_count_minmax_unique
rivierenland,true,4713,nvt,<,ug/l,tfxsbn,nvt,<,ug/l,1624,summary_equal_count_minmax_unique
rivierenland,true,4603,nvt,<,ug/l,propcl,nvt,<,ug/l,1622,summary_equal_count_minmax_unique
rivierenland,true,4537,nvt,<,ug/l,mlxl,nvt,<,ug/l,1618,summary_equal_count_minmax_unique
rivierenland,true,4321,nvt,<,ug/l,clpfm,nvt,<,ug/l,1609,summary_equal_count_minmax_unique
rivierenland,true,4430,nvt,<,ug/l,etdazl,nvt,<,ug/l,1606,summary_equal_count_minmax_unique
rivierenland,true,4543,nvt,<,ug/l,metocb,nvt,<,ug/l,1604,summary_equal_count_minmax_unique
rivierenland,true,4700,nvt,<,ug/l,talt,nvt,<,ug/l,1591,summary_equal_count_minmax_unique
rivierenland,true,1101,nf,<,mg/l,s,nf,<,mg/l,1590,summary_equal_count_minmax_unique
rivierenland,true,4611,nvt,<,ug/l,prosfcb,nvt,<,ug/l,1577,summary_equal_count_minmax_unique
rivierenland,true,4668,nvt,<,ug/l,terbtn,nvt,<,ug/l,1573,summary_equal_count_minmax_unique
rivierenland,true,4404,nvt,<,ug/l,dsftn,nvt,<,ug/l,1572,summary_equal_count_minmax_unique
rivierenland,true,4357,nvt,<,ug/l,dmtn,nvt,<,ug/l,1564,summary_equal_count_minmax_unique
