Parameteromschrijving	Parametercode	N	match_method	match_score	match_margin	ref_scope	Lookup_Parameteromschrijving	RawParametercode
zuurstof	O2	163321	existing_unique	1		existing	zuurstof	""
Temperatuur	T	102137	existing_unique	1		existing	Temperatuur	""
Zuurgraad	pH	91514	existing_unique	1		existing	Zuurgraad	""
Geleidendheid	GELDHD	86492	existing_unique	1		existing	Geleidendheid	""
fosfor totaal	Ptot	85914	existing_unique	1		existing	fosfor totaal	""
ammonium	NH4	85080	existing_unique	1		existing	ammonium	""
stikstof Kjeldahl	NKj	81999	existing_unique	1		existing	stikstof Kjeldahl	""
chloride	Cl	81901	existing_unique	1		existing	chloride	""
nitraat	NO3	80319	existing_unique	1		existing	nitraat	""
nitriet	NO2	80276	existing_unique	1		existing	nitriet	""
Doorzicht	ZICHT	79028	existing_unique	1		existing	Doorzicht	""
chlorofyl-a	CHLFa	73409	existing_unique	1		existing	chlorofyl-a	""
fosfaat	PO4	70588	existing_unique	1		existing	fosfaat	""
sulfaat	SO4	68541	existing_unique	1		existing	sulfaat	""
Biochemisch zuurstofverbruik over 5 dagen	BZV5	55308	existing_unique	1		existing	Biochemisch zuurstofverbruik over 5 dagen	""
stikstof totaal	Ntot	50079	existing_unique	1		existing	stikstof totaal	""
Feofytine a	FEOa	49786	existing_unique	1		existing	Feofytine a	""
waterstofcarbonaat	HCO3	46445	existing_unique	1		existing	waterstofcarbonaat	""
carbonaat	CO3	45369	existing_unique	1		existing	carbonaat	""
Onopgeloste stoffen	OS	43732	existing_unique	1		existing	Onopgeloste stoffen	""
ijzer	Fe	38956	existing_unique	1		existing	ijzer	""
calcium	Ca	38938	existing_unique	1		existing	calcium	""
koolstof organisch	Corg	37959	existing_unique	1		existing	koolstof organisch	""
magnesium	Mg	36944	existing_unique	1		existing	magnesium	""
kalium	K	36935	existing_unique	1		existing	kalium	""
natrium	Na	36929	existing_unique	1		existing	natrium	""
nikkel	Ni	31895	existing_unique	1		existing	nikkel	""
koper	Cu	30422	existing_unique	1		existing	koper	""
zink	Zn	29150	existing_unique	1		existing	zink	""
som nitraat en nitriet	sNO3NO2	27403	existing_unique	1		existing	som nitraat en nitriet	""
lood	Pb	10665	existing_unique	1		existing	lood	""
cadmium	Cd	10649	existing_unique	1		existing	cadmium	""
