raw_name_key	Par_Nr	Raw_ParameterNaam	raw_code_key	raw_rows	Lookup_Parameteromschrijving	Lookup_Parametercode	lookup_code_key	lookup_rows	mismatch_type
temperatuurwater	150	Temperatuur water	150	97534					lookup_missing_for_name
zuurgraad	151	Zuurgraad	151	90956	Zuurgraad	pH	ph	1	par_nr_vs_lookup_code_mismatch
zuurstof	153	Zuurstof	153	89227	zuurstof	O2	o2	1	par_nr_vs_lookup_code_mismatch
geleidendheid	299	Geleidendheid	299	85983	Geleidendheid	GELDHD	geldhd	1	par_nr_vs_lookup_code_mismatch
fosfortotaalp	1071	fosfor totaal (P)	1071	85130					lookup_missing_for_name
ammonium	1051	ammonium	1051	84486	ammonium	NH4	nh4	1	par_nr_vs_lookup_code_mismatch
chloride	1000	Chloride	1000	81391	chloride	Cl	cl	1	par_nr_vs_lookup_code_mismatch
stikstofkjeldahl	1060	Stikstof Kjeldahl	1060	81232	stikstof Kjeldahl	NKj	nkj	1	par_nr_vs_lookup_code_mismatch
nitraat	1052	Nitraat	1052	79808	nitraat	NO3	no3	1	par_nr_vs_lookup_code_mismatch
nitriet	1053	Nitriet	1053	79765	nitriet	NO2	no2	1	par_nr_vs_lookup_code_mismatch
doorzicht	102	Doorzicht	102	79028	Doorzicht	ZICHT	zicht	1	par_nr_vs_lookup_code_mismatch
verhoudingclorideegv	9003	Verhouding Cloride / EGV	9003	77967					lookup_missing_for_name
zuurstofpercentage	152	Zuurstof percentage	152	73818					lookup_missing_for_name
verhoudingo2o2mgl	9006	Verhouding O2 (%) / O2 (mg/l)	9006	73620					lookup_missing_for_name
kleur	111	Kleur	111	73205					lookup_missing_for_name
geur	110	Geur	110	73054					lookup_missing_for_name
ntotaalberekenddawaco	9002	N-totaal Berekend Dawaco	9002	70507					lookup_missing_for_name
orthofosfaatp	1070	Orthofosfaat (P)	1070	70078					lookup_missing_for_name
sulfaat	1100	sulfaat	1100	67890	sulfaat	SO4	so4	1	par_nr_vs_lookup_code_mismatch
diepte	101	Diepte	101	64953					lookup_missing_for_name
