board_id,active,from_parametercode,from_hoedanigheid,from_limietsymbool,from_eenheid,to_parametercode,to_hoedanigheid,to_limietsymbool,to_eenheid,support_rows,method
scheldestromen,true,cltofsfn,nvt,<,ug/l,25900203,nvt,<,ug/l,1651,auto_scheldestromen_pairfix_20260320
scheldestromen,true,imzpr,nvt,<,ug/l,81334341,nvt,<,ug/l,1266,auto_scheldestromen_pairfix_20260320
scheldestromen,true,fensulf,nvt,<,ug/l,fenamfso,nvt,<,ug/l,1256,auto_scheldestromen_pairfix_20260320
scheldestromen,true,carbuphen,nvt,<,ug/l,1563388,nvt,<,ug/l,1255,auto_scheldestromen_pairfix_20260320
scheldestromen,true,chloben,nvt,<,ug/l,c2y44dclbzlt,nvt,<,ug/l,1254,auto_scheldestromen_pairfix_20260320
scheldestromen,true,profox,nvt,<,ug/l,profxdm,nvt,<,ug/l,1230,auto_scheldestromen_pairfix_20260320
scheldestromen,true,fensftnsfn,nvt,<,ug/l,14255722,nvt,<,ug/l,1137,auto_scheldestromen_pairfix_20260320
scheldestromen,true,pfrlne,nvt,<,ug/l,26399360,nvt,<,ug/l,1132,auto_scheldestromen_pairfix_20260320
scheldestromen,true,dma,nvt,<,ug/l,dc1yacad,nvt,<,ug/l,1132,auto_scheldestromen_pairfix_20260320
scheldestromen,true,climba,nvt,<,ug/l,38083179,nvt,<,ug/l,1058,auto_scheldestromen_pairfix_20260320
scheldestromen,true,dmsa,nvt,<,ug/l,succmr,nvt,<,ug/l,841,auto_scheldestromen_pairfix_20260320
scheldestromen,true,naptho2,nvt,<,ug/l,120230,nvt,<,ug/l,568,auto_scheldestromen_pairfix_20260320
scheldestromen,true,mepty,nvt,<,ug/l,131726,nvt,<,ug/l,567,auto_scheldestromen_pairfix_20260320
scheldestromen,true,dcrn,nvt,<,ug/l,26dcl4no2an,nvt,<,ug/l,396,auto_scheldestromen_pairfix_20260320
scheldestromen,true,sttl,nvt,<,ug/l,stot,nvt,<,ug/l,202,auto_scheldestromen_pairfix_20260320
scheldestromen,true,dcprop,nvt,<,ug/l,24dp,nvt,<,ug/l,159,auto_scheldestromen_pairfix_20260320
scheldestromen,true,quintzn,nvt,<,ug/l,peclno2ben,nvt,<,ug/l,143,auto_scheldestromen_pairfix_20260320
scheldestromen,true,tflurln,nvt,<,ug/l,tfrlne,nvt,<,ug/l,143,auto_scheldestromen_pairfix_20260320
scheldestromen,true,bucbxmsn,nvt,<,ug/l,butcboxmsfn,nvt,<,ug/l,143,auto_scheldestromen_pairfix_20260320
scheldestromen,true,mphc,nvt,<,ug/l,2425107,nvt,<,ug/l,135,auto_scheldestromen_pairfix_20260320
scheldestromen,true,dcibnl,nvt,<,ug/l,dcbnl,nvt,<,ug/l,118,auto_scheldestromen_pairfix_20260320
scheldestromen,true,zuurvbk,nvt,,mmol/l,alkltt,nvt,,mmol/l,107,auto_scheldestromen_pairfix_20260320
