Parameteromschrijving	Parametercode	N	omschrijving_key
(1S)-kamfer	1skamfr	2	1skamfer
1,1,1,2-tetrachloorethaan	1112T4ClC2a	202	1112tetrachloorethaan
1,1,1-trichloorethaan	111TClC2a	269	111trichloorethaan
1,1,2,2-tetrachloorethaan	1122T4ClC2a	202	1122tetrachloorethaan
1,1,2-trichloorethaan	112TClC2a	257	112trichloorethaan
1,1-dichloorethaan	11DClC2a	261	11dichloorethaan
1,1-dichlooretheen	11DClC2e	202	11dichlooretheen
1,1-dichloorpropaan	11DClC3a	184	11dichloorpropaan
1,1-dichloorpropeen	11DClC3e	202	11dichloorpropeen
1,2,3,4-tetrachloorbenzeen	1234T4ClBen	626	1234tetrachloorbenzeen
1,2,3-benzotriazool	123benztazl	27	123benzotriazool
1,2,3-trichloorbenzeen	123TClBen	340	123trichloorbenzeen
1,2,3-trichloorpropaan	123TClC3a	202	123trichloorpropaan
1,2,4-trichloorbenzeen	124TClBen	459	124trichloorbenzeen
1,2,4-trimethylbenzeen	124TC1yBen	202	124trimethylbenzeen
1,2-dibroom-3-chloorpropaan	12DBr3ClC3a	202	12dibroom3chloorpropaan
1,2-dibroomethaan	12DBrC2a	202	12dibroomethaan
1,2-dichloorbenzeen	12DClBen	285	12dichloorbenzeen
1,2-dichloorethaan	12DClC2a	261	12dichloorethaan
1,2-dichlooretheen	12DClC2e	28	12dichlooretheen
1,2-dichloorpropaan	12DClC3a	213	12dichloorpropaan
1,2-xyleen	12xyln	285	12xyleen
1,3,5-triallylisocyanuraat	135Talicaurt	1	135triallylisocyanuraat
1,3,5-trichloorbenzeen	135TClBen	339	135trichloorbenzeen
1,3,5-trimethylbenzeen	135TC1yBen	202	135trimethylbenzeen
1,3-dichloorbenzeen	13DClBen	285	13dichloorbenzeen
1,3-dichloorpropaan	13DClC3a	202	13dichloorpropaan
1,4-diacetylbenzeen	14DactBen	1	14diacetylbenzeen
1,4-dichloorbenzeen	14DClBen	285	14dichloorbenzeen
1,4-dimethoxy-2,3,5,6-tetramethylbenzeen	14DC1ox2356T	1	14dimethoxy2356tetramethylbenzeen
1,4-dimethyl-2,5-diisopropylbenzeen	14DC1y25DiC3	10	14dimethyl25diisopropylbenzeen
1-(2-butoxyethoxy)-ethanol	12C4oxC2oxC2	1	12butoxyethoxyethanol
1-(3,4-dichloorfenyl)ureum	134DClFyurum	8	134dichloorfenylureum
1-ethylideenindeen	1C2yididn	5	1ethylideenindeen
1-fenyl-1-penteen-3-on	1Fy1C5e3on	1	1fenyl1penteen3on
1-hexadecanol	1C16ol	5	1hexadecanol
1-hydroxynaftaleen	1HOxNaf	1	1hydroxynaftaleen
1-isopropyl-4-methyl-benzeen	1iC3y4C1yBen	202	1isopropyl4methylbenzeen
1-methylnaftaleen	1C1yNaf	1	1methylnaftaleen
1-propylbenzeen	1C3yBen	202	1propylbenzeen
2,2',3,4,4',5'-hexabroomdifenylether	PBDE138	65	223445hexabroomdifenylether
2,2',3,4,4',5'-hexachloorbifenyl	PCB138	1394	223445hexachloorbifenyl
2,2',3,4,4',5,5'-heptachloorbifenyl	PCB180	1394	2234455heptachloorbifenyl
2,2',3,4,4'-pentabroomdifenylether	PBDE85	65	22344pentabroomdifenylether
2,2',4,4',5,5'-hexabroomdifenylether	PBDE153	131	224455hexabroomdifenylether
2,2',4,4',5,5'-hexachloorbifenyl	PCB153	1394	224455hexachloorbifenyl
2,2',4,4',5,6'-hexabroomdifenylether	PBDE154	131	224456hexabroomdifenylether
2,2',4,4',5-pentabroomdifenylether	PBDE99	131	22445pentabroomdifenylether
2,2',4,4',6-pentabroomdifenylether	PBDE100	131	22446pentabroomdifenylether
2,2',4,4'-tetrabroomdifenylether	PBDE47	129	2244tetrabroomdifenylether
2,2',4,5'-tetrabroomdifenylether	PBDE49	22	2245tetrabroomdifenylether
2,2',4,5,5'-pentachloorbifenyl	PCB101	1394	22455pentachloorbifenyl
2,2',5,5'-tetrachloorbifenyl	PCB52	1397	2255tetrachloorbifenyl
2,2-dichloorpropionzuur	22DClppozr	3	22dichloorpropionzuur
2,3',4,4',5-pentachloorbifenyl	PCB118	1394	23445pentachloorbifenyl
2,3,4,5-tetrachlooraniline	2345T4ClAn	9	2345tetrachlooraniline
2,3,4,5-tetrachloorfenol	2345T4ClFol	1178	2345tetrachloorfenol
2,3,4,6-tetrachloorfenol	2346T4ClFol	1140	2346tetrachloorfenol
2,3,4-trichlooraniline	234TClAn	9	234trichlooraniline
2,3,4-trichloorfenol	234TClFol	1196	234trichloorfenol
2,3,5,6-tetrachlooraniline	2356T4ClAn	9	2356tetrachlooraniline
2,3,5,6-tetrachloorfenol	2356T4ClFol	1141	2356tetrachloorfenol
2,3,5-trichloorfenol	235TClFol	1196	235trichloorfenol
2,3,6-trichloorfenol	236TClFol	1196	236trichloorfenol
2,3-dichlooraniline	23DClAn	9	23dichlooraniline
2,3-dichloorfenol	23DClFol	1197	23dichloorfenol
2,3-dihydroindol-2-on	23DHindl2on	1	23dihydroindol2on
2,3-dimethylfenol	23DC1yFol	12	23dimethylfenol
2,3-xylidine	23xyldne	9	23xylidine
2,4'-dichloordifenyldichloorethaan	24DDD	1548	24dichloordifenyldichloorethaan
2,4'-dichloordifenyldichlooretheen	24DDE	1652	24dichloordifenyldichlooretheen
2,4'-dichloordifenyltrichloorethaan	24DDT	1550	24dichloordifenyltrichloorethaan
2,4,4'-tribroomdifenylether	PBDE28	131	244tribroomdifenylether
2,4,4'-trichloorbifenyl	PCB28	1395	244trichloorbifenyl
2,4,5-trichlooraniline	245TClAn	9	245trichlooraniline
2,4,5-trichloorfenol	245TClFol	1194	245trichloorfenol
